user_id,gender,age,stream,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6
33,Male,21,Computer Science and Engineering (CSE),"Engineering Mechanics, Environmental Science and Sustainability","Engineering Mechanics, Environmental Science and Sustainability","Database Management Systems, Introduction to Machine Learning","Database Management Systems, Introduction to Machine Learning","Blockchain Basics, DevOps Practices","Blockchain Basics, DevOps Practices"
34,Female,23,Aerospace Engineering,"Introduction to Data Science, Engineering Mechanics","Introduction to Data Science, Engineering Mechanics","Satellite Communication Systems, Satellite Communication Systems","Satellite Communication Systems, Satellite Communication Systems","Aircraft Structures Design, Aircraft Structures Design","Aircraft Structures Design, Aircraft Structures Design"
35,Female,23,Chemical Engineering,"Introduction to Python Programming, Soft Skills for Engineers","Introduction to Python Programming, Soft Skills for Engineers","Chemical Process Simulation Using Aspen Plus, Polymer Technology","Chemical Process Simulation Using Aspen Plus, Polymer Technology","Biochemical Engineering, Process Optimization and Simulation","Biochemical Engineering, Process Optimization and Simulation"
36,Male,19,Civil Engineering,"Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Basics of Structural Analysis, Construction Planning and Management","Basics of Structural Analysis, Construction Planning and Management","Sustainable Construction, Smart Transportation Systems","Sustainable Construction, Smart Transportation Systems"
37,Female,22,Aerospace Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mathematics","Basics of Electrical and Electronics Engineering, Engineering Mathematics","Introduction to Aerospace Structures, Basics of Computational Fluid Dynamics (CFD)","Introduction to Aerospace Structures, Basics of Computational Fluid Dynamics (CFD)","Rocket Propulsion Systems, Rocket Propulsion Systems","Rocket Propulsion Systems, Rocket Propulsion Systems"
38,Female,19,Civil Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mathematics","Basics of Electrical and Electronics Engineering, Engineering Mathematics","GIS and Remote Sensing, Basics of Structural Analysis","GIS and Remote Sensing, Basics of Structural Analysis","Advanced Highway Engineering, Geotechnical Engineering Advanced Concepts","Advanced Highway Engineering, Geotechnical Engineering Advanced Concepts"
39,Male,19,Chemical Engineering,"Basics of Electrical and Electronics Engineering, Basics of Electrical and Electronics Engineering","Basics of Electrical and Electronics Engineering, Basics of Electrical and Electronics Engineering","Process Engineering Fundamentals, Petroleum Refining Basics","Process Engineering Fundamentals, Petroleum Refining Basics","Catalysis in Chemical Engineering, Catalysis in Chemical Engineering","Catalysis in Chemical Engineering, Catalysis in Chemical Engineering"
40,Male,21,Electrical Engineering,"Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Electrical Machines and Drives, Basics of Power Systems","Electrical Machines and Drives, Basics of Power Systems","High Voltage Engineering, Renewable Energy Integration","High Voltage Engineering, Renewable Energy Integration"
42,Male,24,Electronics and Communication Engineering (ECE),"Introduction to Data Science, Engineering Mechanics","Introduction to Data Science, Engineering Mechanics","Analog Electronics Fundamentals, Digital Circuits and Systems","Analog Electronics Fundamentals, Digital Circuits and Systems","Embedded System Design with ARM Cortex, Embedded System Design with ARM Cortex","Embedded System Design with ARM Cortex, Embedded System Design with ARM Cortex"
43,Male,25,Civil Engineering,"Soft Skills for Engineers, Engineering Mathematics","Soft Skills for Engineers, Engineering Mathematics","Surveying and Geomatics, Transportation Engineering Basics","Surveying and Geomatics, Transportation Engineering Basics","Geotechnical Engineering Advanced Concepts, Smart Transportation Systems","Geotechnical Engineering Advanced Concepts, Smart Transportation Systems"
44,Male,21,Computer Science and Engineering (CSE),"Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Introduction to Machine Learning, Foundations of Cybersecurity","Introduction to Machine Learning, Foundations of Cybersecurity","Blockchain Basics, Cloud Architect Essentials","Blockchain Basics, Cloud Architect Essentials"
45,Unknown,22,Unknown,"Engineering Mathematics, Engineering Mechanics","Engineering Mathematics, Engineering Mechanics","Data Structures and Algorithms, Data Structures and Algorithms","Data Structures and Algorithms, Data Structures and Algorithms","Data Science and Big Data Analytics, Blockchain Basics","Data Science and Big Data Analytics, Blockchain Basics"
46,Unknown,19,Chemical Engineering,"Introduction to Python Programming, Engineering Mathematics","Introduction to Python Programming, Engineering Mathematics","Petroleum Refining Basics, Energy Management in Process Industries","Petroleum Refining Basics, Energy Management in Process Industries","Process Optimization and Simulation, Petrochemical Process Engineering","Process Optimization and Simulation, Petrochemical Process Engineering"
47,Unknown,25,Electronics and Communication Engineering (ECE),"Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","MATLAB Programming for Engineers, Microprocessors and Microcontrollers","MATLAB Programming for Engineers, Microprocessors and Microcontrollers","Wireless Communication and 5G, FPGA Programming","Wireless Communication and 5G, FPGA Programming"
48,Male,23,Electrical Engineering,"Engineering Mechanics, Basics of Electrical and Electronics Engineering","Engineering Mechanics, Basics of Electrical and Electronics Engineering","Electromagnetic Fields and Waves, Electromagnetic Fields and Waves","Electromagnetic Fields and Waves, Electromagnetic Fields and Waves","High Voltage Engineering, Renewable Energy Integration","High Voltage Engineering, Renewable Energy Integration"
49,Female,22,Mechanical Engineering,"Environmental Science and Sustainability, Engineering Mechanics","Environmental Science and Sustainability, Engineering Mechanics","Basics of Robotics, Kinematics of Machines","Basics of Robotics, Kinematics of Machines","Automobile Dynamics, Wind and Solar Energy Engineering","Automobile Dynamics, Wind and Solar Energy Engineering"
50,Female,25,Chemical Engineering,"Engineering Mathematics, Introduction to Data Science","Engineering Mathematics, Introduction to Data Science","Polymer Technology, Polymer Technology","Polymer Technology, Polymer Technology","Petrochemical Process Engineering, Chemical Plant Safety Management","Petrochemical Process Engineering, Chemical Plant Safety Management"
51,Female,19,Civil Engineering,"Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Construction Planning and Management, Introduction to BIM (Building Information Modeling)","Construction Planning and Management, Introduction to BIM (Building Information Modeling)","Advanced Structural Engineering, Smart Cities and Urban Planning","Advanced Structural Engineering, Smart Cities and Urban Planning"
53,Female,20,Biotechnology/Biomedical Engineering,"Introduction to Python Programming, Soft Skills for Engineers","Introduction to Python Programming, Soft Skills for Engineers","Medical Imaging and Applications, Biomedical Instrumentation","Medical Imaging and Applications, Biomedical Instrumentation","Bioinformatics Applications in Genomics, Advanced Tissue Engineering","Bioinformatics Applications in Genomics, Advanced Tissue Engineering"
54,Female,21,Unknown,"Engineering Mathematics, Introduction to Data Science",Unknown,"Basics of Robotics, Basics of Robotics","Basics of Robotics, Basics of Robotics","Automobile Dynamics, Robotics and Automation Engineering","Automobile Dynamics, Robotics and Automation Engineering"
55,Male,22,Civil Engineering,"Introduction to Python Programming, Introduction to Python Programming","Introduction to Python Programming, Introduction to Python Programming","Water Resource Management, GIS and Remote Sensing","Water Resource Management, GIS and Remote Sensing","Smart Cities and Urban Planning, Sustainable Construction","Smart Cities and Urban Planning, Sustainable Construction"
56,Male,25,Aerospace Engineering,"Engineering Mathematics, Introduction to Data Science","Engineering Mathematics, Introduction to Data Science","Introduction to Aerospace Structures, Introduction to Avionics","Introduction to Aerospace Structures, Introduction to Avionics","Spacecraft Avionics, Spacecraft Dynamics and Control","Spacecraft Avionics, Spacecraft Dynamics and Control"
57,Female,23,Aerospace Engineering,"Introduction to Python Programming, Engineering Mathematics","Introduction to Python Programming, Engineering Mathematics","Flight Mechanics, Basics of Aerodynamics","Flight Mechanics, Basics of Aerodynamics","Spacecraft Avionics, Satellite System Engineering","Spacecraft Avionics, Satellite System Engineering"
58,Female,20,Electronics and Communication Engineering (ECE),"Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Analog Electronics Fundamentals, Introduction to IoT","Analog Electronics Fundamentals, Introduction to IoT","Radar Systems and Applications, Wireless Communication and 5G","Radar Systems and Applications, Wireless Communication and 5G"
59,Female,21,Chemical Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mechanics","Basics of Electrical and Electronics Engineering, Engineering Mechanics","Industrial Safety and Hazard Management, Process Engineering Fundamentals","Industrial Safety and Hazard Management, Process Engineering Fundamentals","Petrochemical Process Engineering, Nanotechnology in Chemical Engineering","Petrochemical Process Engineering, Nanotechnology in Chemical Engineering"
60,Unknown,24,Chemical Engineering,"Engineering Mechanics, Engineering Mathematics","Engineering Mechanics, Engineering Mathematics","Polymer Technology, Industrial Safety and Hazard Management","Polymer Technology, Industrial Safety and Hazard Management","Catalysis in Chemical Engineering, Petrochemical Process Engineering","Catalysis in Chemical Engineering, Petrochemical Process Engineering"
61,Male,25,Unknown,"Engineering Mathematics, Environmental Science and Sustainability","Engineering Mathematics, Environmental Science and Sustainability","Biomedical Instrumentation, Biomedical Instrumentation","Biomedical Instrumentation, Biomedical Instrumentation","Medical Devices and Diagnostics, Medical Devices and Diagnostics","Medical Devices and Diagnostics, Medical Devices and Diagnostics"
62,Male,25,Mechanical Engineering,"Environmental Science and Sustainability, Engineering Mathematics","Environmental Science and Sustainability, Engineering Mathematics","Finite Element Analysis (FEA), 3D Modeling with SolidWorks","Finite Element Analysis (FEA), 3D Modeling with SolidWorks","Introduction to Mechatronics, HVAC Systems Design","Introduction to Mechatronics, HVAC Systems Design"
63,Female,23,Mechanical Engineering,Unknown,Unknown,"Thermodynamics Basics, 3D Modeling with SolidWorks","Thermodynamics Basics, 3D Modeling with SolidWorks","Wind and Solar Energy Engineering, Robotics and Automation Engineering","Wind and Solar Energy Engineering, Robotics and Automation Engineering"
64,Female,21,Unknown,"Environmental Science and Sustainability, Soft Skills for Engineers","Environmental Science and Sustainability, Soft Skills for Engineers","Control Systems Fundamentals, Control Systems Fundamentals","Control Systems Fundamentals, Control Systems Fundamentals","Smart Grid Technology, High Voltage Engineering","Smart Grid Technology, High Voltage Engineering"
65,Male,23,Mechanical Engineering,"Engineering Mathematics, Basics of Electrical and Electronics Engineering","Engineering Mathematics, Basics of Electrical and Electronics Engineering","Thermodynamics Basics, Introduction to Additive Manufacturing (3D Printing)","Thermodynamics Basics, Introduction to Additive Manufacturing (3D Printing)","Energy Systems Engineering, Introduction to Mechatronics","Energy Systems Engineering, Introduction to Mechatronics"
66,Male,20,Electronics and Communication Engineering (ECE),"Basics of Electrical and Electronics Engineering, Engineering Mathematics","Basics of Electrical and Electronics Engineering, Engineering Mathematics","Microprocessors and Microcontrollers, Introduction to IoT","Microprocessors and Microcontrollers, Introduction to IoT","Radar Systems and Applications, Radar Systems and Applications","Radar Systems and Applications, Radar Systems and Applications"
67,Unknown,25,Mechanical Engineering,"Soft Skills for Engineers, Engineering Mechanics","Soft Skills for Engineers, Engineering Mechanics","Finite Element Analysis (FEA), Kinematics of Machines","Finite Element Analysis (FEA), Kinematics of Machines","HVAC Systems Design, Optimization in Mechanical Design","HVAC Systems Design, Optimization in Mechanical Design"
68,Male,25,Electrical Engineering,"Environmental Science and Sustainability, Environmental Science and Sustainability","Environmental Science and Sustainability, Environmental Science and Sustainability","Electrical Machines and Drives, Electrical Machines and Drives","Electrical Machines and Drives, Electrical Machines and Drives","IoT Applications in Electrical Engineering, Electric Vehicle Systems","IoT Applications in Electrical Engineering, Electric Vehicle Systems"
69,Male,19,Unknown,"Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Chemical Process Simulation Using Aspen Plus, Process Engineering Fundamentals","Chemical Process Simulation Using Aspen Plus, Process Engineering Fundamentals","Biochemical Engineering, Environmental Impact of Chemical Processes","Biochemical Engineering, Environmental Impact of Chemical Processes"
70,Male,24,Mechanical Engineering,"Engineering Mechanics, Engineering Mathematics","Engineering Mechanics, Engineering Mathematics","Thermodynamics Basics, Basics of Robotics","Thermodynamics Basics, Basics of Robotics","Wind and Solar Energy Engineering, Optimization in Mechanical Design","Wind and Solar Energy Engineering, Optimization in Mechanical Design"
71,Male,22,Computer Science and Engineering (CSE),Unknown,"Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Object-Oriented Programming with Java, Introduction to Cloud Computing","Object-Oriented Programming with Java, Introduction to Cloud Computing","Data Science and Big Data Analytics, Cybersecurity and Ethical Hacking","Data Science and Big Data Analytics, Cybersecurity and Ethical Hacking"
72,Male,20,Electrical Engineering,"Engineering Mathematics, Soft Skills for Engineers","Engineering Mathematics, Soft Skills for Engineers","Electromagnetic Fields and Waves, Electromagnetic Fields and Waves","Electromagnetic Fields and Waves, Electromagnetic Fields and Waves","High Voltage Engineering, Smart Grid Technology","High Voltage Engineering, Smart Grid Technology"
73,Male,21,Chemical Engineering,"Engineering Mechanics, Basics of Electrical and Electronics Engineering",Unknown,"Polymer Technology, Process Engineering Fundamentals","Polymer Technology, Process Engineering Fundamentals","Nanotechnology in Chemical Engineering, Process Optimization and Simulation","Nanotechnology in Chemical Engineering, Process Optimization and Simulation"
74,Male,19,Electrical Engineering,Unknown,"Basics of Electrical and Electronics Engineering, Basics of Electrical and Electronics Engineering","Control Systems Fundamentals, Basics of Power Systems","Control Systems Fundamentals, Basics of Power Systems","IoT Applications in Electrical Engineering, High Voltage Engineering","IoT Applications in Electrical Engineering, High Voltage Engineering"
75,Female,22,Computer Science and Engineering (CSE),"Introduction to Data Science, Engineering Mathematics","Introduction to Data Science, Engineering Mathematics","Introduction to Cloud Computing, Database Management Systems","Introduction to Cloud Computing, Database Management Systems","Cybersecurity and Ethical Hacking, Cybersecurity and Ethical Hacking","Cybersecurity and Ethical Hacking, Cybersecurity and Ethical Hacking"
76,Female,19,Electronics and Communication Engineering (ECE),"Introduction to Data Science, Introduction to Data Science",Unknown,"Digital Circuits and Systems, MATLAB Programming for Engineers","Digital Circuits and Systems, MATLAB Programming for Engineers","FPGA Programming, Digital Image Processing","FPGA Programming, Digital Image Processing"
77,Male,24,Unknown,"Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Water Resource Management, Construction Planning and Management","Water Resource Management, Construction Planning and Management","Advanced Structural Engineering, Advanced BIM Techniques","Advanced Structural Engineering, Advanced BIM Techniques"
78,Female,19,Chemical Engineering,"Introduction to Data Science, Engineering Mathematics","Introduction to Data Science, Engineering Mathematics","Mass Transfer Basics, Chemical Process Simulation Using Aspen Plus","Mass Transfer Basics, Chemical Process Simulation Using Aspen Plus","Chemical Plant Safety Management, Environmental Impact of Chemical Processes","Chemical Plant Safety Management, Environmental Impact of Chemical Processes"
79,Male,20,Electrical Engineering,"Engineering Mechanics, Environmental Science and Sustainability",Unknown,"Circuit Theory Basics, Electromagnetic Fields and Waves","Circuit Theory Basics, Electromagnetic Fields and Waves","High Voltage Engineering, Advanced Power Systems","High Voltage Engineering, Advanced Power Systems"
80,Female,23,Civil Engineering,"Introduction to Python Programming, Introduction to Computer-Aided Design (CAD)",Unknown,"Surveying and Geomatics, GIS and Remote Sensing","Surveying and Geomatics, GIS and Remote Sensing","Geotechnical Engineering Advanced Concepts, Sustainable Construction","Geotechnical Engineering Advanced Concepts, Sustainable Construction"
81,Male,22,Mechanical Engineering,Unknown,"Engineering Mechanics, Introduction to Data Science","3D Modeling with SolidWorks, Fluid Mechanics","3D Modeling with SolidWorks, Fluid Mechanics","Automobile Dynamics, Advanced Manufacturing Techniques","Automobile Dynamics, Advanced Manufacturing Techniques"
82,Female,19,Electrical Engineering,"Introduction to Python Programming, Introduction to Data Science","Introduction to Python Programming, Introduction to Data Science","Control Systems Fundamentals, Digital Signal Processing","Control Systems Fundamentals, Digital Signal Processing","IoT Applications in Electrical Engineering, IoT Applications in Electrical Engineering","IoT Applications in Electrical Engineering, IoT Applications in Electrical Engineering"
83,Female,22,Mechanical Engineering,Unknown,"Engineering Mathematics, Basics of Electrical and Electronics Engineering","Kinematics of Machines, Strength of Materials","Kinematics of Machines, Strength of Materials","Introduction to Mechatronics, HVAC Systems Design","Introduction to Mechatronics, HVAC Systems Design"
84,Male,22,Electrical Engineering,"Introduction to Python Programming, Soft Skills for Engineers","Introduction to Python Programming, Soft Skills for Engineers","Basics of Power Systems, IoT for Electrical Engineers","Basics of Power Systems, IoT for Electrical Engineers","IoT Applications in Electrical Engineering, Smart Grid Technology","IoT Applications in Electrical Engineering, Smart Grid Technology"
85,Female,20,Electronics and Communication Engineering (ECE),"Introduction to Computer-Aided Design (CAD), Introduction to Computer-Aided Design (CAD)","Introduction to Computer-Aided Design (CAD), Introduction to Computer-Aided Design (CAD)","Microprocessors and Microcontrollers, MATLAB Programming for Engineers","Microprocessors and Microcontrollers, MATLAB Programming for Engineers","Wireless Communication and 5G, Radar Systems and Applications","Wireless Communication and 5G, Radar Systems and Applications"
86,Unknown,24,Electrical Engineering,"Engineering Mechanics, Engineering Mathematics","Engineering Mechanics, Engineering Mathematics","Basics of Power Systems, Introduction to Renewable Energy Systems","Basics of Power Systems, Introduction to Renewable Energy Systems","Advanced Control Systems, High Voltage Engineering","Advanced Control Systems, High Voltage Engineering"
